,text,labels1,labels2
397,@mythos1014 I think I will tomorrow. I ain't ready for all those feels though. 😥,anticipation,anticipation
398,Does every #GOP have an #obnoxious #TWANG?  WTF?  Watching #FOX is #shocking!  More #hicks than I can stand!,disgust,disgust
399,@GMA4Trump_ Nope we don't have it. It's an #outrage,disgust,disgust
400,"#upset #emotional\nMissing loved ones, wishing they were with me and this nightmare was over 😔😥",disgust,disgust
401,"@balbirpunj @sgurumurthy #Conversion is root cause of most acts of violence, wars &amp; #terrorism in history of human civilisation .. !!",anticipation,disgust
402,Daniel killing her ex doeee🍫🍫🍫😛 #insecure,surprise,surprise
403,Paul is such a fucking bully! Dam leave the poor guy alone. He went on #BB19 to play the game same as you SMDH pathetic #annoyed #worstvet,disgust,disgust
404,"I would anybody have seen it\nI’ll laugh all the car?\nClothes are really gettin in a night I lost myself, hating myself, I",disgust,disgust
405,"@SweatbandActive Bullies, rudeness and littering all make me #mad!",disgust,disgust
406,@snowberrytae When I just added @Gochi_mong on snap yesterday and I watched her stories today....oh lord I’m just torturing myself 🤦🏻‍♀️😭,disgust,disgust
407,My boss' have a right grudge against me today🙄,anticipation,disgust
408,"When I get clear on what actions to take, my #fear transforms into excitement because I am in step-by-precious-step action. Can you relate?",anticipation,anticipation
409,@ChrisCuomo Same as the bully in second grade. Classic.,disgust,disgust
410,@ABCTV @AuSenate @annabelcrabb I confess I didn't watch last week. #bad Are you going to do an episode on accessibility?,anticipation,anticipation
411,"Whenever u have a bad day, just remember that there's a bitch stalking you like it's their religion just to see if ur happier than them 😘",disgust,disgust
412,@Muhd_Babba I started reading it but it made no sense kawai I left it 😅,disgust,disgust
413,@CaxtonSupport I'm sorry but I don't know what DM stands for. I know a PM 😂. But sadly not a DM. It won't create an account to find.,disgust,disgust
414,"bro im fuming right now how the fuck did we hand them over james for 45m, we probably paid for his plane ticket aswell so shameless",disgust,disgust
415,I don't even have a Parking infraction in this City I Graduated 25 years ago. I have been completely #sober since May of last year. #RockOn!,surprise,surprise
416,"Dirty Den returns, bursting forth from his grave to deliver a horrible vengeance.",disgust,disgust
417,"Over 9 hours, 6 trains and 7 stations only to be back where I started #nightmare",disgust,disgust
418,Idk why tiff always have a 6:30 am alarm that rings everyday for,anticipation,disgust
419,You won't find #excuses if you seek #optimism. #realtalk,surprise,trust
420,"@realDonaldTrump How many in your family,Admin or camp need to get caught with the hand in the cookie jar @DonaldJTrumpJr #idiots #sad",disgust,disgust
421,Does anybody mom annoy them just by talking and she probably not even trying to annoy you 😂,disgust,disgust
422,@cherishnorminah well be offended then cause im speakin truths here 😜,disgust,disgust
423,Well played radio station. Playing the song 'Total Eclipse of the Heart' at the start of the eclipse! #Eclipse #brilliant,anticipation,anticipation
424,@Kawells00 Oh your art so wonderful 😭,trust,trust
425,@LiamPaulCanning Gotten on the wrong side with Dortmund as well. Watzke not happy with how they handle the situation. #arrogance,disgust,disgust
426,@LondonEconomic Sometimes our judiciary just leaves you breathless and speechless.,disgust,disgust
427,Don't be discouraged.,trust,trust
428,@Everton @WayneRooney Did you not film them when we equalised ? Hmm didn't think so #disappointing,disgust,disgust
429,What a raucous crowd today @GCSchoolsNC #GCSArtsPD17! How often does one hear applause and cheers at PD?! #excitement @ARTSEDNC @nakiahardy,anticipation,anticipation
430,I'm actually very irritated 😡,disgust,disgust
431,fuck shit fuck fuck shit  #suicideISanoption,disgust,disgust
432,Me: yells at ppl for having low self-esteem\nAlso me: burning myself in a trash can in a dumpster in hell for ppl with no self esteem,disgust,disgust
433,@sebastiankurz : We need more mutual #trust to increase #security &amp; fight #terrorism &amp; #radicalization in Europe #osce17AUT #Diplomacy140,anticipation,anticipation
434,"I feel bad for people who don't understand my sarcasm. They think I'm mean, but really I'm hysterical &amp; they don't realize it. #sad #funny",disgust,disgust
435,I hope everyone has a safe and fantastic day!!! 😊,trust,trust
436,"I do not fear bugs, as being poor.",disgust,disgust
437,@VarunsPrincess_ Huhh It's awesome 😍\nI'm obsessed with it 😍😂,surprise,surprise
438,I hate the smell of cigarettes.. 😠,disgust,disgust
439,.@PayPal  why do you always make it so incredibly difficult to do anything or get anything resolved?  #customerservice #sucks,disgust,disgust
440,It's arrived and can't wait to read and learn! #specialneedsandlegalentitlement 2nd edition. If it's as good as the 1st edition ,anticipation,anticipation
441,I need a beer #irritated,disgust,disgust
442,I cry whenever they call me mico chan 😭,disgust,disgust
443,@IrmaDiggs @rollcall These cuts don't just sting.  Sting I can handle.  These cuts are amputations.,disgust,disgust
444,"seulgi, fret not. that's okay!",anticipation,anticipation
445,@SWATI_V_JOSHI Goons of Mamata spread everywhere as terror elements.,disgust,disgust
446,@LePetitChatNYC @NYGovCuomo @MTA ugh i dread having to ride those trains again,disgust,disgust
447,"(I've been shaking for the last 30 minutes, I've steadied to the point where I can type again lmao)",anticipation,anticipation
448,Lost my glasses right before I'm supposed to see a movie at the Chinese Theater. #pissed,disgust,disgust
449,"It's a terrible feeling walking into a spider web,but I try and make myself happy w/ the possibility I could turn into spidergirl. #comickid",disgust,disgust
450,#Vocabulary #1: Crap : extremely poor in quality.\n\nEx3: That movie was terrible. I can't believe I just wasted $10 on such #crap !\n\n#English,disgust,disgust
451,R5 fans confuse there hatred for being called a Disney band with hatred for a&amp;a. Sad.,disgust,disgust
452,"@emilyhroderick Electronics also have foibles, personality faults, like to sulk and crash just like humans... switch off and desolder",disgust,disgust
453,@Jeremy_Hunt Unbelievable #arrogance to think you know better than #StephenHawking .,disgust,disgust
454,if jk realize what taehyung did can he do that to taehyung as a revenge? i would love to,anticipation,anticipation
455,@Geordiegirl1967 @TKnicegirl @castielsmish they need time to grieve.,disgust,disgust
456,@Miss_Wisconsin It's amazing what not being told no enough can raise. #horrid,disgust,disgust
457,@20committee Don Jr lawyered up with the wrong folk. He aint so bright.,disgust,disgust
458,What can you say about @rogerfederer #awestruck.....,anticipation,surprise
459,I can feel my skull shatter from the dull chatter\nBrain spattered on the wall\nGrey stains won't dissolve\nNow I have to paint it all,disgust,disgust
460,@vivschwarz Yeah I'd terminate your contract. I had a similar problem in last place where I was told I should have 'business broadband' 😠,disgust,disgust
461,"#Impeach\nJust a reminder - we have a bratty, infantile, insecure man running the country &amp; congress is allowing him to throw his tantrums.",disgust,disgust
462,This airport's so grim it makes Gatwick feel like Buckingham Palace,disgust,disgust
463,@realDonaldTrump is such an #ass. He thinks being #president is his stage to get #attention. He's like a baby throwing a #tantrum,disgust,disgust
464,Alien Newborn - Alien: Resurrection (Sideshow Collectibles) - This thing really was an abomination! #horror #aliens #figures,disgust,disgust
465,#good to learning #wisdom &lt;&lt; reform (v): make in order to improve something &gt;&gt;,anticipation,anticipation
466,I am trying to get through to the #RAC because I've had a car collision..been waiting in a queue for 16 minutes #shocking,disgust,disgust
467,@KETV Very scary but so glad the nabbed him. Afraid there may be more :(,anticipation,anticipation
468,Provide gainful employment to men and women so that they don't end up joining vigilante outfits or terror squads,anticipation,disgust
469,"Creator, Jack Dorsey: 'The definition [of #Twitter] was 'a short burst of inconsequential information,' and 'chirps from birds'.'",disgust,disgust
470,@DavidLammy This kind of abuse is UNBELIEVABLE and an absolute disgrace. It makes me sad to see this #dismayed,disgust,disgust
471,@DaddyZoey Yea I'm going to go back when I get off work because that's ridiculous 😭 I'm super pissed,disgust,disgust
472,"@NexaExperience Most pathetic after service experience for Baleno servicing, #horrible Feel i have made a mistake buying",disgust,disgust
473,Strapless wedding dresses look awful on most people. \nJulianne Hough looked great 👌🏼,disgust,disgust
474,Lady singing really loudly with headphones on making everyone giggle @greateranglia #train #journey #smile,surprise,surprise
475,He is very playful and can hardly stay in one spot.,trust,trust
476,"Carlsbad #Rouladen is one #delicious, hearty, home-style dish! Stop by and let us know how you like it! #getdtl #ldnont #chaucers #marienbad",anticipation,anticipation
477,"@psychoticdream1 @CNN Wow, there is at least 1 person who still watches CNN. 🙄 have a nice day! Clearly ur still pissed u lost 😂",disgust,disgust
478,oh crap...I lost $100 on poker games yesterday :(,disgust,disgust
479,panas sia omg i cannot 😡,anticipation,disgust
480,It's been just over a decade since #NickSaban quit as the @MiamiDolphins head coach! Good coaches don't quit  #suckynflcoach,disgust,disgust
481,"Honey, you hurt me the way the sun touches my skin today #burning",disgust,disgust
482,@Sailingflyingd @kylegriffin1 This is what happens when blinded by raging hatred,disgust,disgust
483,Why so sensitive?! Did someone put you in your place???? #awe #shutthefuckup,disgust,disgust
484,The optimist sees opportunity in every #barbecue; the pessimist sees barbecue in every opportunity.,anticipation,trust
485,"*gen math class*\n\nms: what is the value of x in this eq'n?\n\nme: x is 10....tial dread and suffering is a prison without escape, only death.",disgust,disgust
486,@Scriblit @TheMendozaWoman Ugh! Not those vile men again. 😱,disgust,disgust
487,There really isn't a more depressing feeling than coming home from a holiday 🙇🏽‍♀️🙇🏽‍♀️,disgust,disgust
488,"Is that a fashion to wear a tight pants, so u can see a camel toy? Lol 🤣 #fashion #girl #girl #pants  #fact",anticipation,anticipation
489,Fuck @mariannethyssen  Let us go for #splendid isolation !,disgust,disgust
490,@No1likeNole @danielNolefan Ugh..hate Manarino got this game 😦,disgust,disgust
491,I let my anger get the best of me yesterday &amp; I feed in,disgust,disgust
492,"@StansburyShow you'll have to forgive me, I have a personal grudge against cnn that dates back as far as the first gulf war.",disgust,disgust
493,@FoxySnaps @NengoHD @SGalehaut How did you attend men 😱,anticipation,surprise
494,My hittas a shake the spot if I point my finger,anticipation,disgust
495,#dull start,disgust,disgust
496,"@Legendaerie Yeah, she just this tight boiling knot of anxiety and anticipation too.  Be writing in a bit - still working around house atm.",anticipation,anticipation
497,@Girlpower1960 @tomshattuck @realDonaldTrump Oh whoops! Sorry! 😅,disgust,surprise
498,I get so heated when I see people go to Thailand and post pictures at places I KNOW animals are exploited and abused. #fuming 🙃,disgust,disgust
499,"One hour great, next hour, bullshit! Welcome to Goodyear! #😠",disgust,disgust
500,"When They Put Kiwi N Strawberry Together,  Jesus Wept!  😢",disgust,disgust
501,The sounds of #summer #cicada so loud today. Catching up on some @JoinTeamAlpha #dread,disgust,surprise
502,"my dog is a dick. started crying. got on the floor to see wuts up, rite? lil bitch start biting the shit out of me",disgust,disgust
503,"@VodafoneIN Network bandwidth died after 9gb offer reedemed, damaging loyal customer relations  #improve",disgust,disgust
504,@DavidBegnaud So horrifying. I feel such sadness for the families.,disgust,disgust
505,@UnitedStandMUFC So English clubs get over charged and other clubs like Real Madrid bully to get players on the cheap,disgust,disgust
506,@Dannnnaaaayyyy Disrespeting music smh #hurt #offended #notcooo #wow,disgust,disgust
507,"My life has been a #crazy, #painful, #awful journey full of #disappointment, #harassment &amp; #abuse",disgust,disgust
508,It bugs me that people concern themselves so much with what other people CHOOSE to do with their money 😂🙈,disgust,surprise
509,"left coffee on dresser, off to a great start",disgust,disgust
510,You get out of a relationship now 'hoe is life' don't make me laugh 😆,disgust,disgust
511,Up early. Kicking ass and taking names. #offense.,disgust,disgust
512,Watching #insecure ... this bitch cheating on her loyal ass Boyfriend! And she makes breakfast to stay happy 🙄,disgust,disgust
513,@AaronSandhu23 I'm sorry for any disappointment Aaron. It could be worth asking to move seats if you aren't happy to sit by the exit ^BM,disgust,disgust
514,@PriyankKahar @narendramodi Don't worry Narendra Modi is not Manmohan Singh.,anticipation,anticipation
515,@SimonHeath1 @MJCarty @hilarygallo How's your day progressing folks? I've been profiled as a red classic director with fiery undertones.,anticipation,anticipation
516,Damn I just walked up to the train station and I literally died ,disgust,disgust
517,promoting taeny while tiff is here yes 👌,anticipation,anticipation
518,"Club Night tonight @ Loe Beach is CANCELLED due to horrible, horrendous, inclement weather!!",disgust,disgust
519,Traffic delays continue around Broadway #Treforest due to burst water main @DwrCymru currently dealing with the situation,disgust,disgust
520,"Hey @DonaldJTrumpJr, you're going to go to jail one day. ",disgust,disgust
521,@voguelayout fback ☹,disgust,disgust
522,Okay this girl On teen mom is screaming but she only 2 cm dilated 😭 when I was 2 cm I was just pissed bc she wouldn't give me water,anticipation,disgust
523,10/10 do not recommend burning your scalp in the sun. my parting is glowing red and it burns 😂 where’s a cap when you need one?,disgust,disgust
524,All these boring stations with this side bully just being tough on someone sha\n... 😞😑😑😑,disgust,disgust
525,@YourHorrorHost &amp; @pdeblassieiii THANK YOU for the retweets. Much #appreciated!!! #horror #monsters #MonsterBrawl @Sirens_Call,trust,trust
526,@shinigamishinz0 I was fuming at this!!!,disgust,disgust
527,@balleralert @akadmiks these kind of cops are the reason people hate cops &amp; cant trust anything ,disgust,disgust
528,@TuckerCarlson @krauthammer @FoxNews They always need the drama and a fight to feel adaquate. Sad power is so insecure!!!,disgust,disgust
529,"@realDonaldTrump There's a time and a place for the exclamation point, and it is not when offering condolences. #gravitas #solemnity",disgust,disgust
530,@FoodwiseWomen @GilesMacDonogh Thank you 😊,trust,trust
531,Cannot express my #hatred for @ATT they even screw me at work! 😠 this is 2nd time they cut our lines #idiots #worthless #needtobefined,disgust,disgust
532,@sheikhsafina Guts? 😂😂😂 go and sunk your face in sand,disgust,disgust
533,Dropping son off this morning then shopping with my girls for shoes wedding fun this afternoon.  Your TL won't explode today.  😀,surprise,surprise
534,"I want to rant about something in the trans community, but lol I don't want to offend people",disgust,disgust
535,@womensmarch I remember when Ron Reagan said tear down that wall.  Trump is so afraid of 'others' he obviously doesn't feel safe. ,disgust,disgust
536,This special report interrupting #bachelorinparadise #pissed,disgust,disgust
537,"SC throws ball in Union Govt's court , Says  Govt should make law on #TripleTalaq  #disappointing",disgust,disgust
538,Drizzling Drizzling Cloudy smoky weather .... Weather is so pleasant... I wish I could drive a Car 😭,anticipation,anticipation
539,"@MiMe1958 @JohnWhyte17 No empathetic and realistic, I know when enough is enough unlike the rabid GOSH bashing mob.",disgust,disgust
540,"@realDonaldTrump Mr President. Hell hath no fury like a Democrap scorned! They offer no alternatives, just obstruct. That's all they have.",disgust,disgust
541,@payne_quaray You might have been doing it for the wrong one. Don't fret 😟,disgust,disgust
542,"@mandzvester 😂😂😂\nThats why I work on my own, to many miserable fok around 😂\nAfternoon Smiley😃x",surprise,surprise
543,Detest living on the west coast of Scotland with all the bigoted sectarian shite from WATP lowlife. Then I look at Norn iron and I cheer up🙄,disgust,disgust
544,"@EdmundPAdamus That's the horrific irony; while we 'cleanse' society of moral value, a new religion will rise up &amp; fill the gap - unhindered",disgust,disgust
545,Y'all hate anything y'all not apart of or don't understand.. #miserable,disgust,disgust
546,@AsfandKhan6 Glad it went well 😄,anticipation,anticipation
547,@975Mornings hey! I resent that .... I have toe thumbs,disgust,disgust
548,Noses are tumbleweed sages are lavender cats is horrid and so is a skittle,disgust,disgust
549,Okay but I was sad I was missing out on bubblegum ice cream today at the fair so my friends brought it to my work 🤗 ,surprise,surprise
550,"If GOD said it, then HE will do it...no need to fret, worry or fear! #pray #trust #believe #beatPeace #HEsGotThis #letFAITHarise Phil 4:6-7",trust,trust
551,idk if i should be angry or happy that a local &amp; trusted online shop i've been following since 2015 is already doing wanna one g/o's KJDSAHK,disgust,surprise
552,My patient gave me a business card and it's given me so much glee to grind the thing.,disgust,disgust
553,"dont #intimidate the powers that be; it just takes a look back, n whn the intimidateds start #intimidating u wont find a place to hide",disgust,disgust
554,McGregor is a clown 😂😂😂 #hilarious #MayweatherVsMcGregor,surprise,surprise
555,@Mothercarehelp after being assured we would get the rest of our order it has been cancelled and a 10% voucher issued.  #nothappy,disgust,disgust
556,"@na_dirs Omg you're savage prof, this is hilarious 🤣🤣",surprise,surprise
557,hey @nestle what happened to the strawberry and black current ones 🙁,anticipation,anticipation
558,@VonKekistan @Impeach_D_Trump @realDonaldTrump Still spreading the lies that Clinton allowed something like it was her sole decision. #sad,disgust,disgust
559,"So broadly as just to include 'information'? Not sure.\n\nRegardless, this is ONE federal offense of many. You can find SOMETHING that sticks.",anticipation,disgust
560,My innocent eyes 😭,disgust,disgust
561,@KimKardashian would u be willing to bless me with $950 #singlemom #blessing #generosity #gettingbackonmyfeet #preschoolfees,anticipation,anticipation
562,"We can complain because rose bushes have thorns, or rejoice because thorn bushes have roses. Abraham Lincoln #optimism #FLOW #nonresistance",trust,trust
563,one tweet:‘Over the coming weeks we'll be continuing to threaten various bluetick  dipsh**s with imprisonment under a socialist government.’,disgust,disgust
564,really wanna dye me hair a bright colour but iv spent all this time growing the dye out,anticipation,anticipation
565,@LoganPaul You share your jolly cheerful character that it makes so unique:),trust,trust
566,@Independent Because Ken is a rabid lefty extremist and propagandist.,anticipation,disgust
567,Who also miss glee ? #gleek #glee #GleeForever #DreamsComeTrue #dontstopbelieving #gleecast @GLEEonFOX,anticipation,anticipation
568,"@WoodTwcapital01 Ok fine I'll be honest, I just enjoy picking on her becuz she's completely clueless #lowhangingfruit #bully",disgust,disgust
569,@bbctennis why on earth do you keep changing the channels? There is no logic to it and makes recording impossible!!!!  #frustrated #angry,disgust,disgust
570,"Let us not look back in anger or forward in fear, but around in awareness. – James Thurber",anticipation,anticipation
571,"@Aircel Its been 6months i am behind this issue, i will nit allow you guys to bully me around like this",disgust,disgust
572,"@marcrileydj Looks like City fans are already blaming the ref for a shock defeat at Bournemouth, #amusing",disgust,disgust
573,Why does the president of the US tweet like Regina George? ,anticipation,trust
574,#Saudi: #Qatar #US pact to end #terror funding won't end crisis &amp; #TrumpJr's #Russia meeting creates legal jeopardy - news @BloombergRadio,disgust,disgust
575,@WILLLANNO Man u r just bitter about Manu making great strides...,disgust,disgust
576,Do you know how terrible that stuff is for you?,anticipation,disgust
577,Mockingbird started playing a random shake it off playlist. #TweetBot,anticipation,anticipation
578,@WackyThot @BaitseM There might be a spec of hope at the end of this horrific tunnel,anticipation,anticipation
579,That took longer than expected lol. Was hella fun though and a good learning experience. If you've got any questions don't hesitate to ask!,surprise,surprise
580,"The Majority is angry. Use of words like Kashmiriyat infuriate it further. Hope ministers, spokesmen weigh words ...",disgust,disgust
581,man I hate Spider-Man and I ain't even watch it yet 😤,disgust,disgust
582,@MarkACollett Un-fu**ing-real! So glad I don't live I the UK right now. My heart aches for my British cousins over there. 😞,disgust,disgust
583,Today all India Bank strike? WTH. Was this announced? What's this strike for? ,disgust,surprise
584,@MELANIE81227659 her with the hair today shocking,surprise,surprise
585,@m4rk1964 Sorry to hear that Mark 😢,disgust,disgust
586,"i'm freezing in the sun, i'm burning in the run",disgust,disgust
587,"Nice one #EE  so much for data protection, not impressed that you can talk to someone the opposite sex who guessed my password, ",disgust,disgust
588,#Merkel has supported all #Israeli #terror initiatives opposing the #Palestinian bid for membership at the #UN.,disgust,disgust
589,"@realYoshiPlayer No offense, but this post makes you look like an opinion disrespecter.",disgust,disgust
590,Have funny feeling this #mayweather #McGregor will become a trilogy. Why make 550 million? When you can make it 3x hmmm #suspicion ? 💵💰,anticipation,anticipation
591,just watch a revenge movie or write it down in a journal and let it all out,disgust,disgust
592,i know it shouldn't discourage me but i just really wanna create something amazing and outstanding,anticipation,anticipation
593,@knowhowtohelp what a terrible company not had a working dishwasher now for 7-8 weeks awaiting 5 th engineer. I am disabled and need this !,disgust,disgust
594,(Looking forward to Charles tweets more than the announcement)!\n[-Q] #nervous,anticipation,anticipation
595,@mitchellvii @tomtomokie Yea but we won't do anything about it. ,disgust,disgust
596,No legit though this is my first ever experience and it's when I don't wear makeup so was pretty ironic tbh #giggle but no ta pal,anticipation,anticipation
597,@Born2ride69 Hell I much rather spend the day in bed (or wherever)  than run 😊\nPlus it's a great workout for the glutes and thighs,disgust,disgust
598,@altontowers Loves the rich!!! Fuck us 'working class folk' and our kids! #fuming #joke #scandalous #disgusting #altontowers  😡😡,disgust,disgust
599,Defendant greets the bench with a cheery 'hello!'. He is late arriving at court because he was collecting his methadone script. #SwansMags,anticipation,anticipation
600,We cannot let @Comcast #bully any #indiedev into paying them for a 'faster lane'. Most indie devs don't have these funds. But @EA does!,disgust,disgust
601,@leezeldin all of this!If the GOP continues to back this mob connected man you will have tremendous regret in 2018 the voters will make sure,disgust,disgust
602,"Hon. Miss Dashwood, whose manners very pretty face, she offended you have done before.",disgust,disgust
603,@ggreenwald Macron slips up and has a moment of clarity &amp; common sense...now he is a raging racist. Sounds right. #LiberalLogic,disgust,disgust
604,no offense to me but wth am i doing. i should be stugying rn.,disgust,disgust
605,"@ADubiousPronoun 🤦🏻‍♀️  We were warned.  And now we basically only have the choice between Trump, Pence, Ryan, et al for POTUS 🤢 ",disgust,disgust
606,I graduated yesterday and already had 8 family members asking what job I've got now 😂 #nightmare,disgust,disgust
607,It's kind of shocking how amazing your rodeo family is when the time comes that you need someone ,surprise,surprise
608,Duty calls. 😧,anticipation,anticipation
609,@GunnerGale Miss Gale I'd really really appreciate a follow back!! I'm one of your biggest fans! ,anticipation,anticipation
610,@sebtsb YOU NEVER TOLD MOI  #jkjk,disgust,disgust
611,@Paula_Deen Why dont you have nothing #to. #insult #justajoke #seriously,disgust,disgust
612,Cancelled trains make me so mad because we could've spent more time with Kodak in the morning 😡  #ihatetuesdays #ffffff,disgust,disgust
613,The wildest shit just happened at work I'm astounded,surprise,surprise
614,Documentary narrator just referred to multiple octopus as octopuses and not octopi. What do i do now? Where is my congressman. #outrage,disgust,disgust
615,@soyoprincess @MisfitPhoenix @beastynewall @Gunderthswain 'Racist'is the fashionable insult - ignore it.,disgust,disgust
616,Hello everyone! How are you? Sinong excited na for live shows? Hahaha don't worry we are too 😃😬,anticipation,anticipation
617,Any #GOP senator who refuses to #RepealAndReplace needs to bear the #wrath of their constituents @ polls home state!  #healthcare #price2pay,anticipation,anticipation
618,@hamilou23 oswade😡😡 I won't with you a happy birthday till you pay my 12000 shillings you borrowed on 12th January 2017. 😡😡😡,disgust,surprise
619,@cnn please get Sebstian Gorka off of my tv.  The whole trump admin. needs to stop deflecting by talking about Hillary. ,disgust,disgust
620,@BootsUK love to know the justification behind the Botanics rebrand that comes complete with a MASSIVE price hike on some products #raging,disgust,disgust
621,I should've stayed in bed.,anticipation,disgust
622,Ashamed. How #EU citizens treated and made #insecure in #UK @AmberRuddHR @theresa_may It's on yr watch #fear#anger #distrust is flourishing,disgust,disgust
623,#RepChrisCollins 🎃 #spins #excuses for #hatred #racism Everyone in #America heard #Trump🎃say some #WhiteSupremacists are #GOODpeople ✅MSNBC,disgust,disgust
624,"You aren't weathly until you have something, money can't but. \n #goodmorning   #bless #guidelife #usa #uk #ksa",anticipation,anticipation
625,Who will help me to be a Millionaire? #business #small_business #Millionaire #start_small_business #money #start #my #business\n:);),anticipation,anticipation
626,See people now selling their #MayMac presss conference tickets at Wembley for £100 now when they were free. Scum cunts!!! 😡,disgust,disgust
627,"many lead by expectation ,rather than by example. Perpetually holding  Damocles Sword over their staff's head &amp; expecting them to be joyful",disgust,disgust
628,@SFBART This driver is telling the passengers we did a very good job and saved a life today. That's it. #tears,trust,trust
629,welp we're gonna die in anatomy lab I guess 🤷‍♀️ #rip ,disgust,disgust
630,@TajFalaknuma #horrible experience #not satisfied #low on standards,disgust,disgust
631,@setsmiling Happy Birthday arsehole. Hope you have an average day ☺️☺️,disgust,disgust
632,@traviswall Strange Fruit. Wow. The story of what America was and what it can be. #brilliant #soyouthinkyoucandance,anticipation,surprise
633,@niallard @Iainmackay8 If I could just pick 8 of them then I'd have no trouble picking who I wanted 🤣,anticipation,anticipation
634,You know where not to get socks? At @hm #horrible I have to put rubber band in my ankles just to get thru a min w/out them falling off 🙄😑,disgust,disgust
635,@AliceOsborne98 I'll second that #arsehole,disgust,disgust
636,nag-iimprove na si Jasper omg 💙 dull boy no more wtf 💗 \n#COMM19,disgust,disgust
637,#StupidReasonsToUseTimeTravel to grab my Poptart that I forgot when I left to work this morning 😧 @Staciellyn @PopTartsUS,disgust,disgust
638,"@MFaizAbdulKarim And i'm serious, 20-23 july, singapore, holiday (and accompany my friend for job interview), with one of my friend.",anticipation,anticipation
639,"I have been very lucky to have had friends who cared for me through phases of #depression. However, sometimes their help felt Big Brother...",trust,trust
640,Hating this already 😟,disgust,disgust
641,"@MarkDice Yeah, his heart is evil and his speech reflected that.  Says a lot about your character that you find it 'awesome'.  How ",disgust,disgust
642,Just watched #TheDarkTower &amp; I ask how did @StephenKing let them destroy a Literary masterpiece is beyond me. #crap #disappointment #fixit,disgust,disgust
643,Whoever decided to put chat functions on company websites for customer service deserves all the medals. I hate talking on the phone ,disgust,disgust
644,@InsafPK one dirty fish  makes the whole pond murky and dirty... no chance of any justice...when all trying to please .... play boy,disgust,disgust
645,@foxnewspolitics @HowardKurtz The left is sooo rabid for something of substance; yet they are forced to feed off innuendo and smearing,disgust,disgust
646,These horoscopes are terrible. Says I'm obsessed with myself 😂 that's really not me 🤷🏾‍♀️,disgust,disgust
647,Edge of my seat @GameOfThrones loved it #dragonsontheWall ,anticipation,surprise
648,"Nole, you just can't go easy on a girl's heart can you? #Wimbledon ",anticipation,disgust
649,"@iamsiroberts Go and see the hell hole which is Halton, now that'll depress you.",disgust,disgust
650,If the teaser trailer 4 @ITMovieOfficial cud stop appearing after /every/ other advert that'd be great #ITMovie  #phobia #scaredmuch #clown,anticipation,anticipation
651,"Don't start anything prematurely, even when u do learn your lesson early enough, know when it's just ur fears or when u need to back it up",anticipation,trust
652,"on July 13th,1989 in #Vienna , #Ghassemlou &amp; his fellows was #terror by the agents of the #Iranian regime\n#Iran #Terrorism \n#twitterkurds",disgust,disgust
653,"When angry, do not sin; do not ever let your wrath (your exasperation, your fury or indignation) last until the sun goes down. Eph.4:26",trust,trust
654,I'm #mad about it,disgust,disgust
655,@matthewamiller I'm still in awe that his clearance wasn't pulled long ago. Seems like security clearance means nothing anymore.,anticipation,anticipation
656,Today if i was a colour it would be red !!! #rage,disgust,disgust
657,13) mutual whos always online - @Lafa_YEET bc we have to bully her to get to sleep,disgust,disgust
658,"Just a side #thought, everything takes #time and #effort ... #annoyed",disgust,disgust
659,"@HillF1 @SilverstoneUK I'm coming on Saturday for Qually and the race on Sunday, can't wait 😊 #excitement #needalewiscap",anticipation,anticipation
660,@Holbornlolz My Big Mac was cold ! #fuming,disgust,disgust
661,@LDN_Muscle a #bright and early session this morning before work! #fullbody #ldnmladies surprised that it actually helped reduce my #doms,surprise,surprise
662,Somebody called y'all president a fucknugget 😂😂 idk what that is but it was the laugh I needed this morning 😭,anticipation,trust
663,"'Obviously it's great to feel like I'm succeeding ... but I couldn't help but feel guilty,' says Yvonne. 'It feels horrible.' #InsightSBS",disgust,disgust
664,@brrttcnln I don't suppose you've figured out how to get the extra boxes on the wrath of cortex?,anticipation,surprise
665,#furious as fuck!!,disgust,disgust
666,I rage quit on Minecraft and I deleted the game. #rage,disgust,disgust
667,These guys really out here disrespecting women while their moms still be doing their laundry. 🤣 ,disgust,disgust
668,A solitary rogue long hair now in my left ear? Its retreating from my head &amp; yet is relentless up my nose? Hair takes the piss...,disgust,disgust
669,"Lucky enough to not burn off ALL of my right eye lashes, unlucky enough to burn them just short enough to irritate all of my OCD tendencies",anticipation,disgust
670,'I hear that.. Your sadness. But human can be stronger with defeat their sadness!',trust,trust
671,"@imaster78 @ll_DannyM7_ll @TOMGORIANXVII @STSF1_Racing And I apologised like 15 times and you're still holding a grudge, can't help thag",disgust,disgust
672,"@elks1287 You have to follow @TommyG  .  He's a professional gambler, mostly daily fantasy, but he will wager on anything.  #angry",disgust,disgust
673,"TFW you, a superhero introvert, have to let strangers into your house to mess around w the bathroom plumbing.  #thecatsandIarehiding",disgust,disgust
674,I want to give spiders emotions and self awareness. Picture if a spider could build resentment toward you. What if it KNEW you were afraid,anticipation,anticipation
675,i just want to fast forward to the part of my day where i take a nap between work and cheer,anticipation,anticipation
676,@mhodges813 Looks like you'll be working there until your 20 🤣,anticipation,surprise
677,#ease is a greater #threat to #progress than #hardship.,trust,trust
678,@jinsproducer Thank you so much!! I don't draw a whole lot anymore but long haired jun is #inspiring,trust,trust
